Onset,stim
9110.914,cue
9113.886,lf
9126.041,cue
9129.014,rh
9141.014,fix
9156.163,cue
9159.135,lh
9171.29,cue
9174.262,rf
9186.262,fix
9201.6,fix
9209.65,cue
9212.609,lh
9224.764,cue
9227.736,rf
9239.736,fix
9254.898,cue
9257.857,t
9270.012,cue
9272.984,lf
9285.139,cue
9288.112,rh
9300.112,fix
9315.261,cue
9318.233,lh
9330.388,cue
9333.36,t
9345.515,cue
9348.487,rf
9360.642,cue
9363.614,rh
9375.769,cue
9378.741,lf
9390.741,fix
9406.08,fix
9414.13,cue
9417.089,rh
9429.244,cue
9432.216,lf
9444.371,cue
9447.344,t
9459.499,cue
9462.471,rf
9474.626,cue
9477.598,lh
9489.598,fix
9504.747,cue
9507.719,t
9519.874,cue
9522.846,lf
9535.001,cue
9537.974,rh
9549.974,fix
9565.123,cue
9568.095,lh
9580.25,cue
9583.222,rf
9595.222,fix
9610.56,fix
9618.61,cue
9621.569,lh
9633.724,cue
9636.696,rf
9648.696,fix
9663.858,cue
9666.817,t
9678.972,cue
9681.944,lf
9694.099,cue
9697.072,rh
9709.072,fix
9724.221,cue
9727.193,lh
9739.348,cue
9742.32,t
9754.475,cue
9757.447,rf
9769.602,cue
9772.574,rh
9784.729,cue
9787.701,lf
9799.701,fix
9815.04,fix
9823.09,cue
9826.049,rh
9838.204,cue
9841.176,lf
9853.331,cue
9856.304,t
9868.459,cue
9871.431,rf
9883.586,cue
9886.558,lh
9898.558,fix
9913.707,cue
9916.679,t
9928.834,cue
9931.806,lf
9943.961,cue
9946.934,rh
9958.934,fix
9974.083,cue
9977.055,lh
9989.21,cue
9992.182,rf
10004.182,fix
10019.52,fix
10027.57,cue
10030.529,lh
10042.684,cue
10045.656,rf
10057.656,fix
10072.818,cue
10075.777,t
10087.932,cue
10090.904,lf
10103.059,cue
10106.032,rh
10118.032,fix
10133.181,cue
10136.153,lh
10148.308,cue
10151.28,t
10163.435,cue
10166.407,rf
10178.562,cue
10181.534,rh
10193.689,cue
10196.661,lf
10208.661,fix
10224,fix
10232.05,cue
